objectid,filename,title,creator,date,subject,subjectgenre,content,contributorperformers,contributorsetdesigner,contributorcompanion,description,alt-text,location,latitude,longitude,format,language,filesize,dimensions,rights
coll009,img_2185.jpg,Hairspray,"Vick, McKenzie",2022-09-14,"Theatrical Productions; Musicals; Shaiman, Marc. Hairspray.",Musical,"Good Morning Baltimore -- the Nicest Kids in Town -- Mama, I'm a Big Girl Now -- I Can Hear the Bells -- (the Legend of) Miss Baltimore Crabs -- Ladies' Choice -- It Takes Two -- Velma's Revenge -- Welcome to the 60's -- Run and Tell That -- Big, Blonde, and Beautiful -- (You're) Timeless to Me -- Good Morning Baltimore (Reprise) -- Without Love -- I Know Where I've Been -- (It's) Hairspray -- Cooties -- You Can't Stop the Beat -- Come So Far (Got So Far to Go).",Performed by a touring ensemble cast.,David Rockwell,"Kera, Elena; Larson, Veronica; Vick, McKenzie",Lauren was partially deaf for this performance. It was the first musical she went to with her roommates.,"McKenzie Vick (left), Lauren Kuethe (right), and Veronica Larson (back) posing with peace signs in front of the Hairspray backdrop","Gallagher Bluedorn, Cedar Falls, Iowa",42.510938,-92.460661,image/jpeg,eng,0.864MB,9.81 x 10.17 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe. Digital reproduction rights in reference to this project granted by McKenzie Vick."
coll020,IMG_3101.JPG,Come From Away,"Kuethe, Lauren",2024-02-10,"Theatrical Productions; Musicals; Sankoff, Irene. Come From Away; Networks Presentations (firm).",Musical,Welcome to the Rock -- 38 Planes -- Blankets and Bedding -- 28 Hours/Wherever We Are -- Darkness and Trees -- On the Bus -- Darkness and Trees (Reprise) -- Lead Us Out of the Night -- Phoning Home -- Costume Party -- I Am Here -- Prayer -- On the Edge -- In the Bar/Heave Away -- Screech In -- Me and the Sky -- The Dover Fault -- Stop the World -- 38 Planes (Reprise)/Somewhere in the Middle of Nowhere -- Something's Missing -- Finale,Performed by a touring ensemble cast.,Beowulf Boritt,"Larson, Veronica",Lauren returned after graduation to view this musical.,"The set of Come From Away before the show; several trees, tables, and chairs","Gallagher Bluedorn, Cedar Falls, Iowa",42.510938,-92.460661,image/jpeg,eng,2MB,56 x 42 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe."
coll011,IMG_3692.JPG,Book of Mormon,"Kuethe, Lauren",2023-04-21,"Theatrical Productions; Musicals; Parker, Trey. Book of Mormon; Networks Presentations (firm).",Musical,Hello! -- Two by Two -- You and Me (But Mostly Me) -- Hasa Diga Eebowai -- Turn It Off -- I Am Here for You -- All-American Prophet -- Sal Tlay Ka Siti -- I Am Here for You (Reprise) -- Man Up -- Making Things Up Again -- Spooky Mormon Hell Dream -- I Believe -- Baptize Me -- I Am Africa -- Orlando -- Joseph Smith American Moses -- Hasa Diga Eebowai (Reprise) -- You and Me (But Mostly Me) (Reprise) -- Tomorrow Is a Latter Day -- Hello! (Reprise) -- Encore,Performed by a touring ensemble cast.,Scott Pask,"Kuethe, Joyce; Kuethe, Jeff",Lauren and her parents were in the balcony to watch this. Her parents did not know the plot before coming to visit and were surprised by the content.,"Jeff, Lauren Kuethe, and Joyce (from left to right) posing outside of theatre","Gallagher Bluedorn, Cedar Falls, Iowa",42.510938,-92.460661,image/jpeg,eng,0.999MB,26.25 x 29.39 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe."
coll012,IMG_3738.JPG,Mod Band - Memorial Garden,"Kuethe, Lauren",2023-05-04,Bands (Music)--United States; The PickPockets (Musical group).,Rock music; Popular music,,"The PickPockets (Emma Huang, Veronica Larson, Carson Uthe McKenzie Vick)",,,"This performance was through a class called Mod Band, of which there were a handful of student-created groups that performed. This year, all songs were covers. This was their last performance before the group split.",Lauren Kuethe outside sitting on the grass with others around,"Memorial Garden - UNI Campus, Cedar Falls, Iowa",42.51472,-92.457457,image/jpeg,eng,0.334MB,13.33 x 17.78 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe."
coll013,IMG_3907.JPG,Bruce Day,"Kuethe, Lauren",2023-05-28,Bands (Music)--United States.,Rock music,,Bruce Day; accompaniment,,"Kuethe, Joyce; Kuethe, Jeff; Kuethe, Trent; Kuethe, Trinity; Kuethe, Cole; Kuethe, Erin; Kuethe, Owen","Lauren and her family went to a winery to celebrate her 21st birthday with her first drinks. Her mother had ulterior motives, as she had planned the day to coincide with this specific performer.",A fleet of three wines from Cedar Ridge on a table,"Cedar Ridge Distillery, Swisher, Iowa",41.831608,-91.677495,image/jpeg,eng,2.9MB,32.22 x 42.89 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe."
coll022,IMG_4180.JPG,The Arcadian Wild,"Kuethe, Lauren",2024-04-27,Bands (Music)--United States; The Arcadian Wild (Musical group).,Indie pop music; Folk music; Bluegrass,"Welcome -- Two Kinds -- Hey, Runner! -- Common Courtesy -- Gàrradh Seileach (Willow Grove) -- Corner -- Shoulders -- Barefoot Kid -- Blue Eyed Girl -- Big Hands (Dallas Ugly cover) -- Tell It Like It Is -- Lift My Head -- Silence, A Stranger -- Lara -- Big Sky, MT -- The Poet -- Dopamine -- Sparrow -- The Graduate -- Rain Clouds -- The End -- I. Spring: Wake -- II. Summer: Walk -- III. Fall: War -- IV: Winter","The Arcadian Wild (Isaac Horn, vocals, guitar; Lincoln Mick, vocals, mandolin; and Bailey Warren, vocals, fiddle)",,"Vick, McKenzie","This was located in Chicago, so Lauren and McKenzie spent most of the day touring the area. The venue was small and intimate.","An empty stage before the performance with microphones, instruments, and beverages","Evanston Space, Evanston, Illinois",42.04101,-87.680452,image/jpeg,eng,3.5MB,56 x 42 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe."
coll014,IMG_4230.JPG,Percy Jackson,"Kuethe, Lauren",2023-07-21,"Theatrical Productions; Musicals; Rokicki, Rob. The Lightning Thief: The Percy Jackson Musical.",Musical,Prologue/The Day I Got Expelled -- Strong -- The Minotaur/The Weirdest Dream -- Another Terrible Day -- Their Sign -- Put You in Your Place -- The Campfire Song -- The Oracle -- Good Kid -- Killer Quest! -- Lost! -- My Grand Plan -- Drive -- The Weirdest Dream (Reprise) -- The Tree on the Hill -- D.O.A. -- Son of Poseidon -- The Last Day of Summer -- Bring on the Monsters,Performed by a local ensemble cast.,,"Sheka, Emma; Lindgren, Allyson",Lauren and her companions were exploring the town and decided to watch this musical on impulse after seeing the information on the marquee.,Empty mismatched couches and seating all facing the same direction,"The Giving Tree, Marion, Iowa",42.034073,-91.599533,image/jpeg,eng,3.7MB,32.22 x 42.89 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe."
coll023,IMG_4635.JPG,Amana Renaissance Festival,"Kuethe, Lauren",2024-05-27,Renaissance fairs; Folk music—United States.,Folk Music,,"Performed by various local reenactors, artists, and dancers.",,"Brown, Sienna; Vick, McKenzie","This was not one singular performance but multiple smaller ones. Amongst those experiences, there were two different bellydancing groups, Orckes & Trolles, A Rogue Wave, Albrecht the Minstrel, Shaylee the Fluting Faery, and other stray music encounters like a fairy ring from Dragon Stories","Sienna Brown, Lauren Kuethe, and McKenzie Vick (from left to right) outside in renaissance faire inspired costumes","Middle Amana Community Park, Amana Colonies, Iowa",41.799219,-91.900437,image/jpeg,eng,1.1MB,23 x 30.67 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe."
coll024,IMG_4838.JPG,Crane Wives,"Kuethe, Lauren",2024-06-08,Bands (Music)--United States; The Crane Wives (Musical group).,"Indie pop music; Folk music, Alternative rock music.","The Moon Will Sing -- Queen of Nothing -- Daydreamer -- Arcturus Beaming -- Steady, Steady -- Bitter Medicine -- Never Love an Anchor -- Caleb Trask -- Nobody -- Empty Page -- Scars -- Take Me to War -- The Well -- Curses -- The Hand That Feeds -- Allies or Enemies -- Tongues & Teeth","The Crane Wives (Emilee Petersmark, vocals, guitar; Kate Pillsbury, guitar, vocals; Dan Rickabus, vocals, drums; Ben Zito, bass); Hannah Laine, vocals, keyboard",,"Vick, McKenzie",This was Lauren's favorite band concert of 2024.,"The marquee for the Englert Theatre, including The Crane Wives at 8","Englert Theatre, Iowa City, Iowa",41.660113,-91.532279,image/jpeg,eng,1.7MB,56 x 42 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe."
coll025,IMG_5089.JPG,Five Season Chamber Music,"Kuethe, Lauren",2024-06-28,Orchestral Music.,Orchestral Music,"Celtic Collage / Paul Harvey -- A Song for Japan for Brass Ensemble / Steven Verhelst -- To You / Thaddeus Joseph Jones -- Rockin' in Rhythm / Edward Kennedy ""Duke"" Ellington -- Invicta / Soon Hee Newbold -- Concerto for Four Violins in b minor RV 580 / Antonio Vivaldi -- Swan Lake Suite, Op. 20 No. 1 - Scene; No. 2 - Waltz / Peter Ilitch Tchaikovsky",Festival Saxophone Ensemble; Festival Brass Ensemble; Festival String Orchestra; Festival Orchestra. Performed by a Kirkwood Performing Arts faculty and intern musicians.,,"Brogla, Courtney; Hauskins, Jacob; Lindgren, Allyson; Sturms, William",This was the first orchestra Lauren had gone to since performing herself in high-school.,"Lauren Kuethe in a house wearing a dress before event, petting a rabbit","Ballantyne Auditorium, Cedar Rapids, Iowa",41.910463,-91.651509,image/jpeg,eng; lat,2.7MB,10.42 x 18.53 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe."
coll026,IMG_5233.JPG,Waitress,"Kuethe, Lauren",2024-07-05,"Theatrical Productions; Musicals; Bareilles, Sara. Waitress.",Musical,What's Inside -- Opening Up -- The Negative -- What Baking Can Do -- Club Knocked Up -- Pomatter Pie -- When He Sees Me -- It Only Takes a Taste -- You Will Still Be Mine -- A Soft Place to Land -- Never Ever Getting Rid of Me -- Bad Idea -- I Didn't Plan It -- Bad Idea (Reprise) -- You Matter to Me -- I Love You Like a Table -- Take It From an Old Man -- She Used to Be Mine -- Contraction Ballet -- What's Inside (Reprise) -- Everything Changes -- Opening Up (Finale),Performed by a local ensemble cast.,S. Benjamin Farrar,"Kuethe, Joyce","This was Lauren's first musical back in Cedar Rapids since before COVID. In 2020, Lauren and her mother had planned on going to three or four musicals including Waitress, but these plans fell through. They were lucky and get floor seats in the center.","Stage after show, showcasing the interior of the diner Lulu's Pies","Theatre Cedar Rapids, Cedar Rapids, Iowa",41.979359,-91.667192,image/jpeg,eng,2.6MB,42 x 56 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe."
coll027,IMG_5509.JPG,Catch Me If You Can,"Kuethe, Lauren",2024-07-27,"Theatrical Productions; Musicals; Shaiman, Marc. Catch Me If You Can.",Musical,"Live in Living Color -- The Pinstripes Are All That They See -- Someone Else's Skin -- Jet Set -- Live in Living Color (Reprise) -- Don't Break the Rules -- The Pinstripes Are All That They See (Reprise) -- Butter Outta Cream -- The Man Inside the Clues -- Christmas Is My Favorite Time of Year -- My Favorite Time of Year -- Doctor's Orders -- Live in Living Color (Reprise) -- Don't Be a Stranger -- Little Boy, Be a Man -- Hanratty's Reprise -- Seven Wonders -- (Our) Family Tree -- Fly, Fly Away -- Goodbye -- Strange But True",Performed by a local ensemble cast.,Marianna Coffey,"Brogla, Courtney",Lauren and her companion did not know this musical existed until they saw the poster advertising it.,Lauren Kuethe posing with Catch Me If You Can poster,"Coralville Center for the Performing Arts, Coraliville, Iowa",41.676512,-91.580839,image/jpeg,eng,2.5MB,56 x 42 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe."
coll028,IMG_5710.JPG,Updown Getdown Marion: Well Strung,"Brown, Sienna",2024-08-08,Well Strung (Musical group); Bands (Music)--United States.,Rock music,,"Well Strung (Jordan Sullivan, vocals, guitar; Justin Marlin, percussion, guitar)",,"Kuethe, Joyce; Kuethe, Jeff; Brown, Sienna",The city of Marion closed off their main street so the stage could be set up. People brought lawn chairs and socialized.,Sienna Brown (left) and Lauren Kuethe (right) posing outdoors,"Uptown Marion, Marion, Iowa",42.033313,-91.598997,image/jpeg,eng,0.734MB,32.17 x 42.89 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe. Digital reproduction rights in reference to this project granted by Sienna Brown."
coll029,IMG_6065.JPG,A Night on the Town,"Kuethe, Lauren",2024-09-14,Orchestral Music.,Orchestral Music,"On The Town: Three Dance Episodes / Leonard Bernstein -- Rhapsody in Blue; I Got Rhythm - The Menefield/Phillips Quartet / George Gershwin -- Symphony No. 1 ""Afro-American Symphony"" / William Grant Still",Orchestra Iowa; Music by black composers,,"Brogla, Courtney; Hauskins, Jacob; Lindgren, Allyson; Sturms, William",This performance was the first of the Masterworks series presented by Orchestra Iowa for their 2024-2025 season.,"Lauren Kuethe poses in front of the Alliant Tower, two blocks from the Paramount","Paramount Theatre, Cedar Rapids, Iowa",41.976819,-91.66699,image/jpeg,eng,0.478MB,23 x 30.67 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe. Digital reproduction rights in reference to this project granted by Orchestra Iowa."
coll030,IMG_6287.JPG,Mother Mother,"Kuethe, Lauren",2024-09-18,Bands (Music)--United States; Mother Mother (Musical Group).,Rock music; Alternative rock music.,Nobody Escapes -- Arms Tonite -- Hayloft II -- The Matrix / Where Is My Mind? -- Problems -- Explode! -- Back to Life -- Video Games (Lana Del Rey cover) -- Bit by Bit -- Body -- Sleep Awake -- Dirty Town / Neighbour / Wisdom / Ghosting / Little Pistol / It's Alright (Acoustic Medley) -- Oh Ana -- Wrecking Ball -- Verbatim -- Hayloft -- Encore: -- Grief Chapter -- Burning Pile,"Mother Mother (Ryan Guldemond, vocals and guitarist; Molly Guldemond, vocals, keyboards; Jasmin Parkin: vocals, keyboards; Ali Siadat, drums, percussion; Mike Young, Bass.)",,"Brown, Sienna; Vick, McKenzie",This was standing room only which means technically Lauren and her companions were part of the pit even though she was a third of the way back. This was the only concert where Lauren already knew all of the songs before she heard the concert was announced.,The back of a clapping audience as the lights from the stage are directed towards them,"Val Air Ballroom, West Des Moines, Iowa",41.585408,-93.706383,image/jpeg,eng,0.294MB,23 x 30.67 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe."
coll031,IMG_6581.JPG,The Music of Harry Potter,"Kuethe, Lauren",2024-10-26,"Orchestral Music; Rowling, J. K.--Characters--Harry Potter; Potter, Harry (Fictitious character)--Songs and music.",Orchestral Music; Soundtrack,Selections taken from Harry Potter film scores as well as songs such as The Firebird by Stravinsky and In the Hall of the Montain King (Grieg),Orchestra Iowa,,"Brogla, Courtney; Hauskins, Jacob; Lindgren, Allyson; Sturms, William",This performance was the first of the Pops series presented by Orchestra Iowa for their 2024-2025 season.,The orchestra warms up in front of a large screen displaying gothic windows,"Paramount Theatre, Cedar Rapids, Iowa",41.976819,-91.66699,image/jpeg,eng,3.4MB,56 x 42 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe. Digital reproduction rights in reference to this project granted by Orchestra Iowa."
coll032,IMG_6752.JPG,Into the Woods - Kirkwood,"Kuethe, Lauren",2024-11-09,"Theatrical Productions; Musicals; Sondheim, Stephen. Into the Woods.",Musical,"Into the Woods -- Cinderella at the Grave -- Hello, Little Girl -- I Guess This Is Goodbye -- Maybe They're Magic -- Maybe They're Magic (reprise) -- I Know Things Now -- A Very Nice Prince -- First Midnight -- Giants in the Sky -- Agony -- A Very Nice Prince (reprise) -- It Takes Two -- Second Midnight -- Stay with Me -- On the Steps of the Palace -- Careful My Toe -- So Happy (Prelude) -- Ever After -- So Happy -- Into the Woods (reprise) -- Agony (reprise) -- Lament -- Any Moment -- Moments in the Woods -- Your Fault -- Last Midnight -- No More -- No One Is Alone -- Finale: Children Will Listen",Performed by a Kirkwood Performing Arts ensemble cast.,Marianna Coffey,"Kuethe, Joyce; Kuethe, Jeff","Into the Woods is one of Lauren's favorite musicals, so this was an early Christmas present.","The stage before the show, depicting three different scenes: a bakery, a fireplace, and coat rack with a bucket","Ballantyne Auditorium, Cedar Rapids, Iowa",41.910463,-91.651509,image/jpeg,eng,2.7MB,56 x 42 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe."
coll033,IMG_6820.JPG,Jazz Weekend: Groovin' and Swingin' Kirkwood's Student Pop Combo (and CR Jazz Ensemble),"Brown, Sienna",2024-11-16,Big band music; Jazz.,Big band music; Jazz; Swing (Music),,Student Pop Combo and CR Jazz Ensemble,,"Sheka, Emma; Lindgren, Allyson",Lauren and her companions went as a spur of the moment decision because they had a friend performing as a singer.,Lauren Kuethe points at the camera while wearing glasses,"Ballantyne Auditorium, Cedar Rapids, Iowa",41.910463,-91.651509,image/jpeg,eng,0.105MB,7.18 x 13.25 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe. Digital reproduction rights in reference to this project granted by Orchestra Iowa."
